date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:42	216/216	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Aug%202016%2008:19:42%20GMT	http://www.tao2korea.com/mall/image/loading.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/image/loading.52.delayed	(from )
17:19:43	17057/17057	---M--	200	added ('OK')	image/png	etag:%224b3c0cf-42a1-568dd355%22	http://www.tao2korea.com/mall/cheditor/attach/20160107115414_xcuxbpro.png	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/cheditor/attach/20160107115414_xcuxbpro.png	(from )
17:19:44	76873/76873	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:43%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=02000000&ps_goid=717	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail1db5.html	(from )
17:19:45	70829/70829	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:43%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_goid=737	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail9c3a.html	(from )
17:19:51	49798/49798	---M--	200	added ('OK')	image/jpeg	etag:%22308c006-c286-578b1907%22	http://www.tao2korea.com/mall/board_data/12.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/12.jpg	(from )
17:19:52	76431/76431	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:51%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_mode=search&url=index.php&ps_search=tbook&x=-1021&y=-88&ps_goid=641	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detailf622.html	(from )
17:19:53	46673/46673	---M--	200	added ('OK')	image/jpeg	etag:%22308c08f-b651-578b2000%22	http://www.tao2korea.com/mall/board_data/13(1).jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/13(1).jpg	(from )
17:19:54	65136/65136	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:53%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=752&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail972b.html	(from )
17:19:56	71361/71361	---M--	200	added ('OK')	image/jpeg	etag:%22308c017-116c1-578b1f7f%22	http://www.tao2korea.com/mall/board_data/11.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/11.jpg	(from )
17:19:56	890/890	---M--	200	added ('OK')	image/gif	etag:%224602fb-37a-4cadf848%22	http://www.tao2korea.com/mall/image/no_image_150.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/image/no_image_150.gif	(from )
17:19:57	481/481	---M--	200	added ('OK')	image/gif	etag:%2246077d-1e1-4d9893a6%22	http://www.tao2korea.com/mall/skin/basic/image/H_icon_bank.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/H_icon_bank.gif	(from )
17:19:57	336/336	---M--	200	added ('OK')	image/gif	etag:%22460664-150-4d9893a6%22	http://www.tao2korea.com/mall/skin/basic/image/H_icon_list_005.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/H_icon_list_005.gif	(from )
17:19:58	65783/65783	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:57%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=751&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detailf5dd.html	(from )
17:20:03	28328/28328	---M--	200	added ('OK')	image/jpeg	etag:%22b4085e-6ea8-578f4327%22	http://www.tao2korea.com/mall/shop_image/201607/01(21).jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/shop_image/201607/01(21).jpg	(from )
17:20:04	66669/66669	---M--	200	added ('OK')	image/jpeg	etag:%22308c090-1046d-56f7a251%22	http://www.tao2korea.com/mall/board_data/tbook11.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/tbook11.jpg	(from )
17:20:04	66198/66198	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:03%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=745&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail7ba3.html	(from )
17:20:04	61456/61456	---M--	200	added ('OK')	image/jpeg	etag:%22b40067-f010-579074ad%22	http://www.tao2korea.com/mall/shop_image/201607/01(24).jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/shop_image/201607/01(24).jpg	(from )
17:20:06	70522/70522	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:05%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=744&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail492a.html	(from )
17:20:06	306/306	---M--	200	added ('OK')	image/gif	etag:%2246061e-132-4d9893a6%22	http://www.tao2korea.com/mall/skin/basic/image/H_icon_nogoods.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/H_icon_nogoods.gif	(from )
17:20:07	18662/18662	---M--	200	added ('OK')	image/jpeg	etag:%22b400db-48e6-57860776%22	http://www.tao2korea.com/mall/shop_image/201607/01(15).jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/shop_image/201607/01(15).jpg	(from )
17:20:07	64353/64353	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:06%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=743&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detailfefb.html	(from )
17:20:09	63731/63731	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:08%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=738&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail9386.html	(from )
17:20:11	39035/39035	---M--	200	added ('OK')	image/jpeg	etag:%22b401cf-987b-5783897e%22	http://www.tao2korea.com/mall/shop_image/201607/01(12).jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/shop_image/201607/01(12).jpg	(from )
17:20:11	16505/16505	---M--	200	added ('OK')	image/jpeg	etag:%22b40166-4079-577cae47%22	http://www.tao2korea.com/mall/shop_image/201607/01.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/shop_image/201607/01.jpg	(from )
17:20:13	68900/68900	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:12%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=734&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail22ae.html	(from )
17:20:14	65957/65957	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:13%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=747&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detail1311.html	(from )
17:20:15	196163/196163	---M--	200	added ('OK')	image/jpeg	etag:%22308c005-2fe43-578b1932%22	http://www.tao2korea.com/mall/board_data/13.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/13.jpg	(from )
17:20:16	83363/83363	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:20:14%20GMT	http://www.tao2korea.com/mall/m_mall_detail.php?ps_ctid=&ps_goid=722&ps_page=	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_detailfe52.html	(from )
